external_gene_name	log2FoldChange	pvalue
NONHSAT179823.1	-26.45203981966581	1.2769574761149442e-18
ENST00000620121	-25.934769787499334	5.853430359798924e-18
SERPINH1	-24.76539991494274	1.6448195307970627e-16
INTS3	-24.20035937995736	7.824792330205974e-16
MDM4	-24.12614504380432	9.579211314063157e-16
RPS24	-23.96279201190809	1.492132169286977e-15
ENST00000327471	-23.864656576837582	1.9452769231566743e-15
NONHSAT180033.1	-23.82383296738558	2.171547390434278e-15
NONHSAT175644.1	-23.819573657009563	2.1964747367730938e-15
PTK2	-23.810802983730316	2.2481972974720383e-15
ELP1	-23.79734252733933	2.331991798822039e-15
ENST00000537739	-23.72845617528146	2.8056483654465545e-15
CCDC93	-23.633485202948222	3.617754196373946e-15
INO80B-WBP1	-23.514353739751115	4.970148453996142e-15
PRICKLE2	-23.466286180936795	5.647204853837992e-15
ATG9A	-23.21177257411525	1.1062004434751517e-14
SHISA5	-23.18266415512228	1.1937272991425722e-14
EPB41L2	-23.09062310743108	1.520074521014029e-14
XRN1	-23.049047521476663	1.6945770430250078e-14
JPT1	-22.998798924063138	1.93211309315329e-14
ANK2	-22.959624234362757	2.1398136731040957e-14
RTRAF	-22.95230073997661	2.1721279518729115e-14
MED24	-22.868739649420732	2.709653122790132e-14
DGKQ	-22.81110329105857	3.146272389307405e-14
PIGG	-22.720569948143027	3.730801229022794e-14
MBNL2	-22.68410052484513	4.3664245069417134e-14
LIMS2	-22.606763846552756	5.329226460809337e-14
NONHSAT258967.1	-22.435619035856202	4.5859305182212813e-14
ENST00000544578	-22.417354955830984	4.628130730388156e-14
ATAD3A	-22.39374329016006	9.194579196858966e-14
MAP4	-22.373605237267732	7.693797188534106e-14
NONHSAT251409.1	-22.282233984274345	7.8375634027662e-14
GFUS	-22.221582343730866	9.072941733429196e-14
DHRS9	-22.201823810506767	1.250828267951695e-13
MSTRG.20649.1	-22.135928620165494	1.6762715607945687e-13
SOGA1	-21.426409303089706	6.836558474130302e-13
POLD1	-9.499308822744348	9.414918641385975e-7
FDFT1	-9.470146812960856	0.0016164281781640534
ARNT	-8.884260735284657	2.929043282521994e-6
CYBC1	-8.857008664636757	1.1968517382325557e-5
RBPJ	-8.846078224146428	0.0032303305026948922
C11orf54	-8.724261454531328	0.003680578524395807
PSMA4	-8.521045797021241	0.004560222606722074
ENPP2	-8.261005243507572	0.005962313569325229
TRAPPC11	-8.25599419810271	0.005992790482571393
LDHA	-8.236024403670182	0.006115646166418671
GALK2	-7.980905202572822	1.1962297462167279e-5
ENST00000618539	-7.980857623352012	0.0025332629385369375
GABBR1	-7.965925417614974	0.008015302863741365
TIPARP	-7.8512551350747035	1.1855541796310532e-10
SLC35B1	-7.824918242329315	0.009203998240581381
ATRX	-7.735675150396768	5.26441800424758e-7
NONHSAT175809.1	-7.722805626886253	2.45717152640371e-7
RUFY1	-7.595170298346455	7.979641343180998e-8
DPP3	-7.585474881801419	0.001962220562393226
ANP32E	-7.511395448941333	5.431372431821241e-6
SNX6	-7.479367494612678	3.3337212366306516e-5
UPF2	-7.357254144812012	3.443763876190633e-4
PSMA6	-7.1557898311345465	0.01708996044472616
TOMM40L	-7.14818728931824	0.016682731655621407
SPIDR	-7.089605747590025	1.6180096725071816e-4
MYO5A	-7.0471836979170375	1.9828019386608308e-4
TMEM50A	-7.03793007398244	0.01809120709451045
TPM1	-7.0317858818479815	0.0022118052440084014
NONHSAT242457.1	-7.0291669310580005	0.0024264511409775955
SCFD1	-7.010077959931283	0.018479372231907217
AURKA	-6.972955860751301	0.01948454238107574
NONHSAT235845.1	-6.971813398421729	0.02001952449929246
ZW10	-6.962753739912451	0.019661286140010698
FRS2	-6.962482537787131	8.76161723922723e-6
SLC44A1	-6.953896677501691	0.0026210125934682357
MED23	-6.951432367197158	0.01964692735331913
JRK	-6.946619269031087	0.020223087242241325
NONHSAT229238.1	-6.901010646926673	0.020471924225241682
