V1	V2	V3	V4
under137160_193123	over137160_193123	under137160_over193123	over137160_under193123
DHRS9	TNFAIP8L1	GMPR2	FAM120B
RBKS	HAS1	PSCA	INHA
MTTP	IL24	ICAM3	ACSL4
CES3	LTB4R	TMPRSS2	CYP19A1
SLC22A17	CHRDL2	FAM118A	KCNT2
SEMA4G	CD44	KRT7	PTPN20
NOC2LP1	PDE4DIP	TACSTD2	NOX5
RANBP17	SLC22A3	MXD3	SARDH
DPY19L4	IRF7	LINC02863	SMN2
HLA-K	BMP2	WNT4	LIPH
SLC51A	IL32	NPDC1	SSPOP
MASP1	CBLN1	NA	AOC3
MTARC2	RPSAP52	NA	WWOX
CDK20	ANKRD1	NA	SELENBP1
LIPH	NA	NA	PDZK1
RUNDC3A	NA	NA	MPPED2
MACROD2	NA	NA	PTTG1IP
GRIN2C	NA	NA	PCAT14
LINC01139	NA	NA	SERPINA5
CNNM1	NA	NA	CTNNAL1
NPAS2	NA	NA	ALDH6A1
MTUS1	NA	NA	RBKS
TMEM245	NA	NA	AQP2
SPARC	NA	NA	FAN1
TM7SF2	NA	NA	PLB1
EPN3	NA	NA	LDLR
ACOX2	NA	NA	PCLO
SIAE	NA	NA	GALNT1
NR1H4	NA	NA	NA
